Data-Kwartał,Przepływy pieniężne z działalności operacyjnej,Amortyzacja,Przepływy pieniężne z działalności inwestycyjnej,CAPEX (niematerialne i rzeczowe),Przepływy pieniężne z działalności finansowej,Emisja akcji,Dywidenda,Skup akcji,Płatności z tytułu umów leasingu,Przepływy pieniężne razem
2005/Q1 (mar 05) ,22552,8514,-28964,29510,10669,0,0,,,4257
2005/Q2 (cze 05) ,38805,9180,-17036,17469,-30651,0,0,,,-8882
2005/Q3 (wrz 05) ,16594,9409,-13962,-10076,-4913,0,36794,,,-2281
2005/Q4 (gru 05) ,-6371,9845,-13036,40449,21647,0,0,,,2240
2006/Q1 (mar 06) ,27631,10930,-112023,16051,83277,0,0,,,-1115
2006/Q2 (cze 06) ,36948,10756,-17037,22844,-27527,0,0,,,-7616
2006/Q3 (wrz 06) ,25618,11136,-27637,24739,-8456,0,36923,,,-10475
2006/Q4 (gru 06) ,25503,11636,-71225,163333,37296,0,0, ,,-8426
2007/Q1 (mar 07) ,3023,11976,-26928,29367,1684,0,0, ,,-22221
2007/Q2 (cze 07) ,38274,12842,-63563,36375,29057,0,0, ,,3768
2007/Q3 (wrz 07) ,49968,13515,-54740,57517,8381,0,36923, ,,3609
2007/Q4 (gru 07) ,46665,13905,-38669,26895,-12010,0,0, ,,-4014
2008/Q1 (mar 08) ,20329,14711,-31525,25373,26817,0,0, ,,15621
2008/Q2 (cze 08) ,43801,15463,-24119,20258,-22237,0,0, ,,-2555
2008/Q3 (wrz 08) ,41388,15648,-21911,22497,-27561,0,41529, ,,-8084
2008/Q4 (gru 08) ,56218,15875,-10258,12202,-21461,0,0, ,,24499
2009/Q1 (mar 09) ,59300,15973,-20895,11334,-30549,0,0, ,,7856
2009/Q2 (cze 09) ,55083,16003,-13247,13925,-712,0,0, ,,41124
2009/Q3 (wrz 09),58851,15839,-12865,10843,-64756,0,0, ,,-18770
2009/Q4 (gru 09) ,39608,16312,7022,10935,-15616,0,0, ,,31014
2010/Q1 (mar 10) ,14704,16888,-15263,15966,-27268,0,0, ,,-27827
2010/Q2 (cze 10) ,14536,17190,-27984,27986,3926,0,0, ,,-9522
2010/Q3 (wrz 10) ,-5957,17084,-21103,26602,12871,0,36923, ,,-14189
2010/Q4 (gru 10) ,49624,16158,-43183,37457,-17160,0,0, ,,-10719
2011/Q1 (mar 11) ,9495,16621,-25989,26294,22497,0,0, ,,6003
2011/Q2 (cze 11) ,-4108,17039,-36600,36749,33350,0,0, ,,-7358
2011/Q3 (wrz 11) ,71800,17429,-18118,18658,-56260,0,36904, ,,-2578
2011/Q4 (gru 11) ,129608,19409,-31588,31835,-78888,0,0, ,,19132
2012/Q1 (mar 12) ,27350,19609,-27618,27795,17240,0,0, ,,16972
2012/Q2 (cze 12) ,16816,21182,-23283,25327,-18610,0,0, ,,-25077
2012/Q3 (wrz 12) ,47394,20492,-24270,24538,-14662,0,46126, ,,8462
2012/Q4 (gru 12) ,34516,20867,-20322,20681,-8822,0,0, ,,5372
2013/Q1 (mar 13) ,51773,19494,-26572,26882,-16679,0,0, ,,8522
2013/Q2 (cze 13) ,56383,19911,-23237,23439,-41532,948,0, ,,-8386
2013/Q3 (wrz 13) ,58607,20539,-31991,32366,-23070,7268,55721, ,,3546
2013/Q4 (gru 13) ,32908,21013,-26476,30627,30,0,0, ,,6462
2014/Q1 (mar 14) ,58763,19456,-23035,23627,-44646,1602,0, ,,-8918
2014/Q2 (cze 14),61067,20201,-20496,20589,-22797,5082,0, ,,17774
2014/Q3 (wrz 14) ,63192,21383,-29885,29681,-54077,0,93808, ,,-20770
2014/Q4 (gru 14) ,47873,23656,-22384,18352,-22266,-1,0, ,,3223
2015/Q1 (mar 15) ,21526,21427,-54425,54654,19580,0,0, ,,-13319
2015/Q2 (cze 15) ,46912,22002,-52858,52953,35507,0,0, ,,29561
2015/Q3 (wrz 15) ,97538,23876,-52642,52721,-55736,0,101029, ,,-10840
2015/Q4 (gru 15) ,101416,24406,-46110,34653,-54434,0,35030, ,,872
2016/Q1 (mar 16) ,72375,25385,-46110,46556,-19364,0,0, ,,6901
2016/Q2 (cze 16) ,88450,25731,-104660,94898,52215,0,0, ,,36005
2016/Q3 (wrz 16) ,68258,27106,-72588,72848,12238,0,61449, ,,7908
2016/Q4 (gru 16) ,86039,33611,-46744,47005,-87871,4261,108718, ,,-48576
2017/Q1 (mar 17) ,19287,29684,-40830,41255,23423,1359,0, ,,1880
2017/Q2 (cze 17) ,77525,29545,-31156,30412,-58356,0,0, ,,-11987
2017/Q3 (wrz 17) ,96800,30013,-36835,37083,-27858,-2,75920, ,,32107
2017/Q4 (gru 17) ,82463,30753,-78445,81242,-22048,3717,208779, ,,-18030
2018/Q1 (mar 18) ,59908,30573,-46357,46691,-27697,0,0, , ,-14146
2018/Q2 (cze 18) ,60237,31949,-51897,52188,56007,2781,0, , ,64347
2018/Q3 (wrz 18) ,88723,31094,-62498,64066,-48720,-1,228521, , ,-22495
2018/Q4 (gru 18) ,84419,32194,-67957,68102,-22399,1,19, , ,-5937
2019/Q1 (mar 19),123151,33451,-52432,53098,-12924,0,0, , ,57795
2019/Q2 (cze 19) ,137489,34154,-92010,92279,-2383,2130,400, , ,43096
2019/Q3 (wrz 19) ,159289,34763,-45170,45746,-191401,2050,66398, , ,-77282
2019/Q4 (gru 19) ,142898,35866,-54234,54467,-109362,0,162211, , ,-20698
2020/Q1 (mar 20) ,117344,37191,-42252,42848,-15553,1640,0, , ,59539
2020/Q2 (cze 20) ,209353,35820,-29913,30041,-189837,3864,0, , ,-10397
2020/Q3 (wrz 20) ,158585,36356,-23309,23499,-16837,8868,0, , ,118439
2020/Q4 (gru 20) ,151338,39349,-48397,49167,-223796,1737,336654, , ,-120855
2021/Q1 (mar 21) ,98675,37238,-42716,43198,-11473,45,0, , ,44486
2021/Q2 (cze 21) ,93519,38077,-44701,44829,-126494,6081,129012, , ,-77676
2021/Q3 (wrz 21) ,131484,38147,-43477,43881,-114196,201,301061, , ,-26189
2021/Q4 (gru 21) ,45325,40184,-86228,86613,52864,0,0, , ,11961
2022/Q1 (mar 22) ,84658,38673,-86303,86583,-16272,0,0, , ,-17917
2022/Q2 (cze 22) ,57611,40716,-60197,60641,35602,0,0, , ,33016
2022/Q3 (wrz 22) ,208395,41382,-94856,95149,-27112,0,168395, , ,86427
2022/Q4 (gru 22) ,383492,45481,-66149,67170,-383280,0,336983, , ,-65937
2023/Q1 (mar 23) ,297539,43714,-98249,98628,-210140,0,0, , ,-10850
2023/Q2 (cze 23) ,254692,44875,-61690,62222,-229460,0,0, , ,-36458
2023/Q3 (wrz 23) ,327149,44484,-55870,56225,-235996,0,193003, , ,35283
2023/Q4 (gru 23) ,268884,47530,-98318,98713,-208118,0,410132, , ,-37552
2024/Q1 (mar 24) ,206650,48250,-98551,99041,-107763,0,0, , ,336
2024/Q2 (cze 24) ,219940,50403,-87661,87926,-124870,0,0, , ,7409
2024/Q3 (wrz 24),81849,53727,-430377,40789,329964,30402,183869, , ,-18564
