Data-Kwartał,Przepływy pieniężne z działalności operacyjnej,Amortyzacja,Przepływy pieniężne z działalności inwestycyjnej,CAPEX (niematerialne i rzeczowe),Przepływy pieniężne z działalności finansowej,Emisja akcji,Dywidenda
2011/Q1 (mar 11) ,37489,12450,-45296,23079,9439,0,0
2011/Q2 (cze 11) ,-8112,13022,9195,22409,-1022,0,0
2011/Q3 (wrz 11) ,49736,13491,-1644,14566,-34519,0,24571
2011/Q4 (gru 11) ,26291,13550,-19409,21578,18843,0,1
2012/Q1 (mar 12) ,31945,13961,-24133,25467,-3291,0,0
2012/Q2 (cze 12) ,23351,12835,-31814,22912,-40141,0,50217
2012/Q3 (wrz 12) ,62188,12386,-28469,6818,-13366,0,0
2012/Q4 (gru 12) ,-5808,10024,6185,18664,16984,0,74
2013/Q1 (mar 13) ,46227,13111,-15969,19509,-58076,0,49164
2013/Q2 (cze 13) ,29889,12514,-24079,28884,13347,0,3
2013/Q3 (wrz 13) ,837,12935,-27932,28175,-1128,0,-33
2013/Q4 (gru 13) ,37691,3996,-15138,24046,7080,0,230
2014/Q1 (mar 14) ,43315,10670,-27805,28995,-30965,0,30000
2014/Q2 (cze 14) ,24785,10964,-34470,34225,10441,0,15011
2014/Q3 (wrz 14) ,22214,11135,-73101,52806,56986,0,23685
2014/Q4 (gru 14) ,74238,11410,-14804,25836,20668,0,0
2015/Q1 (mar 15) ,-2421,11983,-60352,30406,-4204,0,0
2015/Q2 (cze 15) ,36064,12103,-30167,32618,-28810,0,69288
2015/Q3 (wrz 15) ,15002,12605,-5189,35654,-2224,0,2
2015/Q4 (gru 15) ,100533,15077,-35069,36568,-21994,0,0
2016/Q1 (mar 16) ,9846,14519,-27903,21088,7955,0,0
2016/Q2 (cze 16) ,62037,14605,-22081,26104,-78537,0,88943
2016/Q3 (wrz 16) ,47607,14718,-34475,31937,-10950,0,0
2016/Q4 (gru 16) ,143386,14555,-82684,43330,4056,0,8
2017/Q1 (mar 17) ,6115,14187,-12878,30472,-16671,0,0
2017/Q2 (cze 17) ,66541,15874,-24098,41831,-88678,0,150091
2017/Q3 (wrz 17) ,48109,17206,-67310,45582,11040,0,3
2017/Q4 (gru 17) ,83336,18152,-37697,51470,-4756,0,0
2018/Q1 (mar 18) ,-16840,17029,-52879,38000,36768,0,0
2018/Q2 (cze 18) ,105805,17290,-73750,86115,-18623,0,164981
2018/Q3 (wrz 18) ,81626,20447,-61810,59982,-25708,0,0
2018/Q4 (gru 18) ,116283,22444,-62595,61875,-35426,0,12
2019/Q1 (mar 19) ,52047,24304,-66134,65764,4502,0,0
2019/Q2 (cze 19) ,45455,24219,-57008,52395,29259,0,164981
2019/Q3 (wrz 19) ,102678,24700,-53548,55118,-77530,0,344
2019/Q4 (gru 19) ,109884,27257,-61215,59911,-19969,0,-343
2020/Q1 (mar 20) ,97414,41787,-82555,64719,54474,0,0
2020/Q2 (cze 20) ,46624,34395,-3113,41018,-86915,0,67705
2020/Q3 (wrz 20) ,86433,33335,-49688,26193,-94189,0,0
2020/Q4 (gru 20) ,135103,37064,-15537,38290,22858,0,0
2021/Q1 (mar 21) ,73498,41791,-64834,36321,-25545,0,0
2021/Q2 (cze 21) ,94459,46609,-1822,21844,-153846,0,72862
2021/Q3 (wrz 21) ,164912,45958,-59385,43984,-22917,0,0
2021/Q4 (gru 21) ,197068,34240,-22357,47610,-33648,0,0
2022/Q1 (mar 22) ,96336,47461,-129418,40607,-24855,0,0
2022/Q2 (cze 22) ,116569,43386,-10632,59841,-242805,0,262665
2022/Q3 (wrz 22) ,211025,45891,-55065,81348,-64323,0,0
2022/Q4 (gru 22) ,368395,48368,-29006,47472,-29981,0,0
2023/Q1 (mar 23) ,244655,48833,-140632,60560,-4262,0,0
2023/Q2 (cze 23) ,58484,53542,-7178,70335,-435044,0,428237
2023/Q3 (wrz 23) ,64196,36143,-56737,46168,-34929,0,18
2023/Q4 (gru 23) ,144769,36564,-45545,39278,-26181,0,1
2024/Q1 (mar 24) ,42128,51039,-27946,42716,-22070,0,0
2024/Q2 (cze 24) ,124495,42202,-43211,35387,-136412,0,133018
2024/Q3 (wrz 24) ,23526,39938,-75862,29952,23930,0,0
