Data-Kwartał,Przepływy pieniężne z działalności operacyjnej,Amortyzacja,Przepływy pieniężne z działalności inwestycyjnej,CAPEX (niematerialne i rzeczowe),Przepływy pieniężne z działalności finansowej,Emisja akcji,Dywidenda,Przepływy pieniężne razem
2005/Q1 (mar 05) ,577954,288137,-14818,386729,138835,0,0,701971
2005/Q2 (cze 05) ,1067904,341015,-1298659,502465,175189,0,0,-55566
2005/Q3 (wrz 05) ,1100221,531698,-397615,607147,-821832,0,911020,-119226
2005/Q4 (gru 05) ,917810,619094,-792084,2137357,-256625,0,0,-130899
2006/Q1 (mar 06) ,-557195,532949,-403529,521502,601234,0,0,-359490
2006/Q2 (cze 06) ,1684292,443524,-286115,270421,-974242,0,0,423935
2006/Q3 (wrz 06) ,1533074,513664,-778575,531534,-301222,0,0,453277
2006/Q4 (gru 06) ,1033018,617990,-5277979,6437692,4951798,0,0,706837
2007/Q1 (mar 07) ,594358,619624,-987814,690153,436016,0,0,42560
2007/Q2 (cze 07) ,1314279,581632,-433662,737449,-1019284,0,0,-138667
2007/Q3 (wrz 07) ,629765,603841,-162688,969296,-190086,0,0,276991
2007/Q4 (gru 07) ,-573336,626326,-1260944,1296838,800393,0,0,-1033887
2008/Q1 (mar 08) ,986259,586922,-682406,872892,-237565,0,0,66288
2008/Q2 (cze 08) ,1281483,607309,-572872,694227,-883641,0,0,-175030
2008/Q3 (wrz 08),237947,607535,-1512082,1353307,1347710,0,692888,73575
2008/Q4 (gru 08) ,1111071,689617,-1617597,1048983,386069,0,0,-120457
2009/Q1 (mar 09) ,1151001,651408,-851929,884614,173771,0,0,472843
2009/Q2 (cze 09) ,1921227,656349,-1708335,784741,-903965,0,0,-691073
2009/Q3 (wrz 09) ,-826702,627110,-380207,630027,971564,0,0,-235345
2009/Q4 (gru 09) ,2916267,632779,400474,371246,-1262954,0,0,2053787
2010/Q1 (mar 10) ,416143,600619,-575468,597684,-353734,0,0,-513059
2010/Q2 (cze 10) ,2467841,612366,-381367,600225,-2369748,0,0,-283274
2010/Q3 (wrz 10) ,399875,613855,-1338581,1318874,89429,0,0,-849277
2010/Q4 (gru 10) ,2826340,595907,-624644,1207587,-663687,0,0,1538009
2011/Q1 (mar 11) ,-41908,554331,-607539,849735,473429,0,0,-176018
2011/Q2 (cze 11) ,1007360,576743,-402554,401260,-1284970,0,0,-680164
2011/Q3 (wrz 11) ,479762,614167,-406021,612860,494652,0,0,568393
2011/Q4 (gru 11) ,-684108,634707,2913135,678590,649265,0,0,2878292
2012/Q1 (mar 12) ,147946,578585,-555833,548462,-781722,0,0,-1189609
2012/Q2 (cze 12),-91953,543036,-335325,442218,-141872,0,0,-569150
2012/Q3 (wrz 12) ,2654067,561915,-675220,473539,-1751938,0,0,226909
2012/Q4 (gru 12) ,379125,576586,-1308478,982278,-735941,0,0,-1665294
2013/Q1 (mar 13) ,-1342697,537874,-132656,526688,575643,0,0,-899710
2013/Q2 (cze 13) ,4318965,534963,-638040,462556,-421629,0,0,3259296
2013/Q3 (wrz 13) ,1191935,541409,-436651,623414,-2597612,0,642000,-1842328
2013/Q4 (gru 13) ,1502797,555754,-1271653,787342,-65402,0,0,165742
2014/Q1 (mar 14) ,-3440000,522000,-816000,761000,2324000,0,0,-1932000
2014/Q2 (cze 14) ,4055000,524000,-1264000,943000,1743000,0,0,4534000
2014/Q3 (wrz 14) ,2164000,460000,-940000,973000,-1537000,0,617000,-313000
2014/Q4 (gru 14) ,408000,485000,-1000000,1023000,-447000,0,0,-1039000
2015/Q1 (mar 15) ,980000,452000,-568000,616000,-1265000,0,0,-853000
2015/Q2 (cze 15) ,2679000,464000,-750000,629000,-878000,0,0,1051000
2015/Q3 (wrz 15) ,132000,469000,-591000,605000,1150000,0,706000,691000
2015/Q4 (gru 15) ,1563000,510000,-2187000,1229000,-1873000,0,0,-2497000
2016/Q1 (mar 16) ,2927000,515000,-1399000,1533000,-311000,0,0,1217000
2016/Q2 (cze 16) ,1764000,508000,-1056000,1271000,-187000,0,0,521000
2016/Q3 (wrz 16) ,2097000,537000,-1142000,1149000,-1152000,0,909000,-197000
2016/Q4 (gru 16) ,2543000,550000,-839000,1082000,-560000,0,3000,1144000
2017/Q1 (mar 17) ,673000,562000,-907000,889000,-808000,0,0,-1042000
2017/Q2 (cze 17) ,3493000,581000,-940000,1112000,-569000,0,0,1984000
2017/Q3 (wrz 17) ,3003000,616000,-939000,879000,-1454000,0,1283000,610000
2017/Q4 (gru 17) ,881000,662000,-1139000,1159000,-1000,0,0,-259000
2018/Q1 (mar 18) ,510000,626000,-4796000,1149000,2088000,0,0,-2198000
2018/Q2 (cze 18) ,1879000,673000,2884000,1056000,-3576000,0,0,1187000
2018/Q3 (wrz 18) ,3552000,677000,-1009000,1065000,-1756000,0,1283000,787000
2018/Q4 (gru 18) ,-962000,697000,-876000,1183000,7000,0,0,-1831000
2019/Q1 (mar 19) ,1191000,833000,-666000,834000,-1036000,0,0,-511000
2019/Q2 (cze 19) ,3494000,846000,-675000,894000,-302000,0,0,2517000
2019/Q3 (wrz 19) ,3431000,893000,-1032000,1070000,-1739000,0,1497000,660000
2019/Q4 (gru 19),1203000,934000,-1621000,1652000,-286000,0,0,-704000
2020/Q1 (mar 20) ,530000,935000,-1527000,1233000,-135000,0,0,-1132000
2020/Q2 (cze 20) ,3342000,1118000,-2556000,1988000,-2690000,0,0,-1904000
2020/Q3 (wrz 20) ,2199000,1183000,-2339000,1988000,-1879000,0,428000,-2019000
2020/Q4 (gru 20) ,1176000,1301000,-2074000,2364000,993000,0,0,95000
2021/Q1 (mar 21) ,3856000,1292000,-3746000,3394000,589000,0,0,699000
2021/Q2 (cze 21) ,5119000,1313000,-2879000,2145000,-1448000,0,0,792000
2021/Q3 (wrz 21) ,4286000,1328000,-2204000,2023000,-1904000,0,1498000,178000
2021/Q4 (gru 21) ,35000,1408000,-910000,3663000,757000,0,0,-118000
2022/Q1 (mar 22) ,1803000,1400000,-4655000,3463000,2995000,0,0,143000
2022/Q2 (cze 22) ,8952000,1447000,-4581000,3767000,-4409000,0,0,-38000
2022/Q3 (wrz 22) ,8978000,1518000,-467000,4331000,-180000,0,0,8331000
2022/Q4 (gru 22) ,11218000,2581000,11220000,8572000,-12975000,0,1500000,9463000
2023/Q1 (mar 23) ,23479000,2878000,-13329000,9659000,-2735000,0,0,7415000
2023/Q2 (cze 23) ,7032000,3043000,-4905000,7648000,-6408000,0,0,-4281000
2023/Q3 (wrz 23),7241000,2834000,-10475000,9207000,-5864000,0,6385000,-9098000
2023/Q4 (gru 23) ,4162000,5445000,-7700000,9673000,2950000,0,0,-588000
2024/Q1 (mar 24) ,11670000,3409000,-9778000,8271000,-3649000,0,0,-1757000
2024/Q2 (cze 24) ,5963000,3439000,-6938000,6670000,29000,0,0,-946000
2024/Q3 (wrz 24),8572000,3375000,-6523000,6689000,-1694000,0,4818000,355000
